spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_inc_1_material,layer_3_inc_1_shape,layer_3_inc_1_fraction,layer_3_matrix_fraction
36,491.42885656978325,0.08184057031756319,0.06919185210598287,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,491.85635503891206,0.07982102908277405,0.06925683966172101,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,492.2838427812856,0.07914005690799873,0.06932174778890589,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,492.71131979690404,0.07827013475399562,0.06938620135720913,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,493.13878608576726,0.0783095090118086,0.0694504918018534,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,493.56624164787536,0.07933044017358959,0.06951528314103303,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,493.9936864832282,0.08007444168734493,0.06958071049127472,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,494.4211205918259,0.08029538461538463,0.06964629878339605,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,494.84854397366837,0.08114949556710487,0.06971462232063082,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,495.2759566287557,0.08126290224650881,0.06978287053554046,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,495.7033585570878,0.08115453998797355,0.06985445323097345,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,496.13074975866476,0.08066805845511482,0.06992736633921645,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,496.55813023348657,0.08090180955206172,0.07000243685268172,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,496.9854999815531,0.08023584905660378,0.07008178841059585,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,497.41285900286454,0.07978978102189781,0.07016107566512747,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,497.84020729742076,0.07895348837209303,0.07024839072302681,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,498.2675448652218,0.07859365994236311,0.0703359087964704,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,498.69487170626763,0.07846109675567041,0.07042944340048672,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,499.1221878205583,0.07806543385490755,0.07052699094305731,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,499.54949320809374,0.07844111832815588,0.07062723581864616,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,499.97678786887406,0.07787353105763851,0.07073662763366773,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,500.4040718028992,0.07873544093178036,0.07084600008629055,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,500.8313450101691,0.0780038387715931,0.07096283914235936,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,501.25860749068386,0.07839086708344659,0.07108089377794122,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,501.6858592444434,0.07870759289176091,0.07120106016229721,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,502.11310027144776,0.0784837159636946,0.07132342896378072,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,502.540330571697,0.07783554376657825,0.07144633264455859,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,502.967550145191,0.07829697766097242,0.07157307332788578,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,503.3947589919298,0.07781818181818181,0.07169983582033349,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,503.82195711191343,0.07683720930232558,0.07182991545804641,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,504.24914450514194,0.07786173220251864,0.07196111993563238,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,504.6763211716152,0.07842857142857143,0.07209404568268954,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,505.10348711133327,0.07861893881695863,0.07222975162545407,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,505.5306423242962,0.07898708533806027,0.0723655557169401,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,505.95778681050393,0.08012090680100756,0.07250582326225874,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,506.3849205699565,0.07946040469647765,0.07264614986510057,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,506.81204360265383,0.07986111111111112,0.07278942882963765,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,507.239155908596,0.07919469678369752,0.0729343913138946,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,507.666257487783,0.07888861808432855,0.07308066326410224,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
